"代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"000050","深天马A","2016-12-31T00:00:00","电子元件","10736756430.53","1.9635","7.2004","10419750667.31","3.62472059478165","569177393.37","0.026145","69.4968","20.1832","7920376783.63","-0.054888""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"000413","东旭光电","2019-03-31T00:00:00","电子元件","3816412812.51","-18.2005","-65.141","5076060941.82","2.38351450507349","431060886.41","0.011917","-49.1943","24.8933","38389585097.27","0.057139"
"000413","东旭光电","2018-12-31T00:00:00","电子元件","28211700021.12","63.2908","78.491","24460106952.41","2.39851448036517","2163607505.39","0.250514","85.7127","17.7502","39152817372.7","0.074386"
"000413","东旭光电","2017-12-31T00:00:00","电子元件","17276969039.03","127.1521","193.358","16319362118.18","38.5261546038496","1730174564.57","0.33749","83.8662","20.8514","36442029677.28","0.375094"
"000413","东旭光电","2016-12-31T00:00:00","电子元件","7632049549.25","48.4089","91.3302","8596061529.26","0.644438530733106","1303685863.9","-0.065075","71.2145","30.5968","25908111864.69","0.668666""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"002456","欧菲光","2019-03-31T00:00:00","电子元件","10655854732.52","40.9817","-10.4277","10021308601.42","33.4097690016568","-256566591.07","-1.868588","86.4638","8.2264","30735907059.5","0.327044"
"002456","欧菲光","2018-12-31T00:00:00","电子元件","43042809935.58","27.3794","-7.7099","42239896987.19","181.161312083797","-519008316.35","-1.630997","-399.5384","12.3154","29261258110.94","0.351568"
"002456","欧菲光","2017-12-31T00:00:00","电子元件","33791031433.68","26.3385","-0.0247","33252626538.49","174.104485815592","822521428.67","0.144257","-149.6148","13.7636","21649862939.42","0.406416"
"002456","欧菲光","2016-12-31T00:00:00","电子元件","26746418937.61","44.5927","-3.1019","22838081460.95","66.8934075181435","718825886.71","0.502404","-23.653","11.478","15393641471.55","0.535076""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"000651","格力电器","2019-03-31T00:00:00","家电行业","41006119447.79","2.4501","-17.945","43448029583.55","184.528117854313","5671869041.09","0.016168","11.5554","30.5896","168491284000.69","0.152641"
